MMS Id,Network Number,Bibliographic Lifecycle,Collection Name,Suppressed From Discovery,File Internal Path
991011565431404641,alma:01GCL_INST/bibs/991011565431404641; http://hdl.handle.net/11084/5700; grinnell:5700,In Repository,PHPP - Community Contributions,No,65/B3/5E/5A/4C/05/6D/E4/9D/60/B1/29/9E/E3/D6/FB/grinnell_5700_OBJ.tiff
991011565431504641,alma:01GCL_INST/bibs/991011565431504641; http://hdl.handle.net/11084/6200; grinnell:6200,In Repository,PHPP - Community Contributions,No,F3/DC/8C/B3/59/F8/12/91/0B/BD/38/E3/00/2F/CB/48/grinnell_6200_OBJ.tiff
991011565431604641,alma:01GCL_INST/bibs/991011565431604641; http://hdl.handle.net/11084/3368; grinnell:3368,In Repository,PHPP - Community Contributions,No,DE/20/53/D4/F7/CD/58/14/92/FA/74/A8/4C/8B/5C/2B/grinnell_3368_OBJ.tiff
991011565431704641,alma:01GCL_INST/bibs/991011565431704641; http://hdl.handle.net/11084/29796; grinnell:29796,In Repository,PHPP - Community Contributions,No,DF/5F/04/DA/AE/D3/61/22/A7/A9/95/93/D9/8F/C1/9E/grinnell_29796_OBJ.jpg
991011565431804641,alma:01GCL_INST/bibs/991011565431804641; http://hdl.handle.net/11084/5697; grinnell:5697,In Repository,PHPP - Community Contributions,No,3A/CE/1F/05/AB/39/C0/40/C3/89/04/0F/5E/5A/C5/3D/grinnell_5697_OBJ.tiff
991011565431904641,alma:01GCL_INST/bibs/991011565431904641; http://hdl.handle.net/11084/6199; grinnell:6199,In Repository,PHPP - Community Contributions,No,1D/63/35/BF/6E/22/E0/87/24/29/D5/52/E6/FF/A2/77/grinnell_6199_OBJ.tiff
991011565432004641,alma:01GCL_INST/bibs/991011565432004641; http://hdl.handle.net/11084/3367; grinnell:3367,In Repository,PHPP - Community Contributions,No,59/53/20/83/AC/57/91/77/1E/6D/3E/04/23/70/A6/77/grinnell_3367_OBJ.tiff
991011565432104641,alma:01GCL_INST/bibs/991011565432104641; http://hdl.handle.net/11084/29795; grinnell:29795,In Repository,PHPP - Community Contributions,No,A0/D2/63/57/0B/31/86/E1/CE/B1/85/8C/07/C1/50/CB/grinnell_29795_OBJ.jpg
991011565432204641,alma:01GCL_INST/bibs/991011565432204641; http://hdl.handle.net/11084/5696; grinnell:5696,In Repository,PHPP - Community Contributions,No,B1/9E/EA/34/A2/DB/9F/63/02/A0/2D/15/24/C6/28/F4/grinnell_5696_OBJ.tiff
991011565432304641,alma:01GCL_INST/bibs/991011565432304641; http://hdl.handle.net/11084/6198; grinnell:6198,In Repository,PHPP - Community Contributions,No,9D/37/33/FB/C9/41/4F/9C/CD/12/C6/D7/E7/4E/23/B3/grinnell_6198_OBJ.pdf
991011565432404641,alma:01GCL_INST/bibs/991011565432404641; http://hdl.handle.net/11084/3366; grinnell:3366,In Repository,PHPP - Community Contributions,No,BA/22/C9/17/DF/15/16/A7/CD/C6/9F/C8/DE/16/AE/DA/grinnell_3366_OBJ.tiff
991011565432504641,alma:01GCL_INST/bibs/991011565432504641; http://hdl.handle.net/11084/29794; grinnell:29794,In Repository,PHPP - Community Contributions,No,24/B3/F3/62/E9/24/8D/EA/70/CF/3F/30/51/41/3A/E5/grinnell_29794_OBJ.jpg
