originating_system_id,dc:title,dcterms:alternative,dc:relation,compoundrelationship,group_id,collection_id,dc:type,mms_id,file_name_1,dc:identifier,dcterms:identifier.dcterms:URI,dc:creator,dc:contributor,dcterms:tableOfContents,dc:subject,dcterms:subject.dcterms:LCSH,dc:description,dcterms:provenance,dcterms:bibliographicCitation,dcterms:abstract,dcterms:publisher,dc:date,dcterms:created,dcterms:issued,dcterms:dateSubmitted,dcterms:dateAccepted,dc:format,dcterms:extent,dcterms:medium,dcterms:format.dcterms:IMT,dcterms:type.dcterms:DCMIType,dc:language,dcterms:isPartOf,dc:coverage,dcterms:spatial,dcterms:spatial.dcterms:Point,dcterms:temporal,dc:rights,dc:source,bib custom field,rep_label,rep_public_note,rep_access_rights,rep_usage_type,rep_library,rep_note,rep_custom field,file_label_1,file_name_2,file_label_2,googlesheetsource,dginfo,oldalttitle
grinnell:19984,"New Student Days, Undated, Photograph 2",,,,,,image,991011588275604641,grinnell_19984_OBJ.jpg,grinnell:19984,,,,,Students | New Student Days,,Students standing in a kiddie pool during New Student Days activities. Undated.,Office of Communications,,,,1987-1991,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19985,"New Student Days, Undated, Photograph 3",,,,,,image,991011588275404641,grinnell_19985_OBJ.jpg,grinnell:19985,,,,,Students | New Student Days,,Students hold balloons during New Student Days activities. Undated.,Office of Communications,,,,1987-1991,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20116,"Conard Environmental Research Area, 1987",,,,,,image,991011588271804641,grinnell_20116_OBJ.tif,grinnell:20116,,,,,Students | CERA,,Students look at a mouse held by professor Karl DeLong at the Conard Environmental Research Area (CERA). Student on the far left is Adedunla Akerele-Ale (class of 1990).,Office of Communications,,,,1987,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34093,"Skip Day, 1988, Photograph 1",,,,,,image,991011588494704641,grinnell_34093_OBJ.tif,grinnell:34093,,,,,Students | Student Life | Skip Day,,Students blowing bubbles during Skip Day in 1988.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34094,"Skip Day, 1988, Photograph 2",,,,,,image,991011588494604641,grinnell_34094_OBJ.tif,grinnell:34094,,,,,Students | Student Life | Skip Day,,Students doing body painting during Skip Day in 1988.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34095,"Skip Day, 1988, Photograph 3",,,,,,image,991011588494504641,grinnell_34095_OBJ.tif,grinnell:34095,,,,,Students | Student Life | Skip Day,,Students hanging out outside during Skip Day in 1988.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34103,"Skip Day, 1988, Photograph 11",,,,,,image,991011588493704641,grinnell_34103_OBJ.tif,grinnell:34103,,,,,Students | Student Life | Skip Day,,"Students on Skip Day in 1988. From left to right: Shannon McDonald Nelson, class of 1988; Unidentified (red hat); Serge Strassberg; Chris Hollins, class of 1989; Jen Tabin; Unidentified.",Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34104,"Skip Day, 1988, Photograph 12",,,,,,image,991011588493604641,grinnell_34104_OBJ.tif,grinnell:34104,,,,,Students | Student Life | Skip Day,,"Students on Skip Day in 1988. Denise Lisio, left. Possibly Dave Kailor, center in white shirt.",Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:29493,"Commencement, 1988, Photograph 2",,,,,,image,991011588500804641,grinnell_29493_OBJ.tif,grinnell:29493,,,,,commencement,,A student with his graduation tassel attached their glasses watches the 1988 Commencement ceremony.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19973,"Students studying, 1988",,,,,,image,991011588277704641,grinnell_19973_OBJ.jpg,grinnell:19973,,,,,Students | studying,,Students studying.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19986,"New Student Days, 1988, Photograph 1",,,,,,image,991011588275204641,grinnell_19986_OBJ.jpg,grinnell:19986,,,,,Students | New Student Days,,Students scooping ice cream during New Student Days.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19987,"New Student Days, 1988, Photograph 2",,,,,,image,991011588275104641,grinnell_19987_OBJ.jpg,grinnell:19987,,,,,Students | New Student Days,,Students outdoors around a kiddie pool during New Student Days.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19988,"New Student Days, 1988, Photograph 3",,,,,,image,991011588274904641,grinnell_19988_OBJ.jpg,grinnell:19988,,,,,Students | New Student Days,,BBQ during New Student Days.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19974,"Biking, 1988",,,,,,image,991011588277504641,grinnell_19974_OBJ.jpg,grinnell:19974,,,,,Students | Biking | Rollerblading,,Students biking or rollerblading.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19975,Juggling 1988,,,,,,image,991011588277404641,grinnell_19975_OBJ.jpg,grinnell:19975,,,,,Students | Juggling,,Students juggling.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34404,"Students Life at the Forum, 1988, Photograph 1",,,,,,image,991011589628204641,grinnell_34404_OBJ.tiff,grinnell:34404,,,,,Student Life | Campus | Forum,,"Four students sitting in front of the Forum. Second to right is Natalie Baggs, class of 1999 (?).",Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34424,"Students Life at the Forum, 1988, Photograph 2",,,,,,image,991011589542004641,grinnell_34424_OBJ.tiff,grinnell:34424,,,,,Student Life | Campus | Forum,,Two students sitting in front of the Forum.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20117,"Art Class, 1988, Photograph 2",,,,,,image,991011588271504641,grinnell_20117_OBJ.tiff,grinnell:20117,,,,,Students | Art | Classroom,,"On far left is Kiri Nomtvedt, person on the right is Thom Barthelamos, on the far right is Shelley Reid.",Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34420,"Student During Relays, 1988",,,,,,image,991011589543404641,grinnell_34420_OBJ.tiff,grinnell:34420,,,,,Student Life | Campus | Relays | Campus Activities | Competition | Social Life,,Student wearing sunglasses during Relays with a drink in their hand.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34399,"Student Life and Athletics, 1988",,,,,,image,991011589629604641,grinnell_34399_OBJ.tiff,grinnell:34399,,,,,Student Life | Campus | Athletics | Frisbee,,Two students playing frisbee on campus. Right: Zabrae Valentine.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20114,"Religious Studies, 1988",,,,,,image,991011588272204641,grinnell_20114_OBJ.tiff,grinnell:20114,,,,,Students | Academics,,Group of students study together laying down on the floor.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34402,"Student Life, 1988, Photograph 3",,,,,,image,991011589628704641,grinnell_34402_OBJ.tiff,grinnell:34402,,,,,Student Life | Campus | Multicultural,,Two students on campus looking through their notes.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34067,"Student Life, 1980s, Photograph 4",,,,,,image,991011588252704641,grinnell_34067_OBJ.tiff,grinnell:34067,,,,,Student Life | Students | Campus,,"Students talking on campus, 1988.",Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34405,"Student Life, 1988, Photograph 4",,,,,,image,991011589627704641,grinnell_34405_OBJ.tiff,grinnell:34405,,,,,Student Life | Campus | Multicultural,,Three students on campus reading campus memoes. Left: Adrienne Enriquez.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34406,"Student Life on Campus, 1988, Photograph 4",,,,,,image,991011589627304641,grinnell_34406_OBJ.tiff,grinnell:34406,,,,,Student Life | Campus | Mac Field,,Three students laying on the grass on Mac Field in front of North Campus dorms. Right: Brenn Sarata,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34419,"Student Life in Dorms, 1988, Photograph 4",,,,,,image,991011589543704641,grinnell_34419_OBJ.tiff,grinnell:34419,,,,,Student Life | Campus | South Campus | Students | Dorms,,"Students sitting in a lounge watching television. Front row, left to right are Katie Dean and Rupin Thakkar. Second ffrom the left in the middle row is Josh Tubbiessen.",Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34407,"Student Life on Campus, 1988, Photograph 5",,,,,,image,991011589626904641,grinnell_34407_OBJ.tiff,grinnell:34407,,,,,Student Life | Campus | Goodnow Hall,,Two students walking in front of Goodnow Hall.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34408,"Student Life on Campus, 1988, Photograph 6",,,,,,image,991011589626404641,grinnell_34408_OBJ.tiff,grinnell:34408,,,,,Student Life | Campus | Carnegie Hall,,Two students reading Scarlet & Black on the stairs of Carnegie Hall.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34409,"Student Life on Campus, 1988, Photograph 7",,,,,,image,991011589625904641,grinnell_34409_OBJ.tiff,grinnell:34409,,,,,Student Life | Campus,,Five students walking on campus.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34410,"Student Life on Campus, 1988, Photograph 8",,,,,,image,991011589625504641,grinnell_34410_OBJ.tiff,grinnell:34410,,,,,Student Life | Campus | Mears Cottage,,Three students studying in front of Mears Cottage.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34411,"Student Life on Campus, 1988, Photograph 9",,,,,,image,991011589625104641,grinnell_34411_OBJ.tiff,grinnell:34411,,,,,Student Life | Campus,,Student laying on the grass reading.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34414,"Student Life on Campus, 1988, Photograph 12",,,,,,image,991011589623604641,grinnell_34414_OBJ.tiff,grinnell:34414,,,,,Student Life | Campus,,"Four students walking on campus. Second from the left:  Courtney Smith, far right: Natalie Baggs",Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34415,"Student Life on Campus, 1988, Photograph 13",,,,,,image,991011589623204641,grinnell_34415_OBJ.tiff,grinnell:34415,,,,,Student Life | Campus | South Campus,,"Three students sitting in front of South Campus On the left is Josh Toliessen, and on the right is Andy Hicken.",Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34416,"Student Life on Campus, 1988, Photograph 14",,,,,,image,991011589545404641,grinnell_34416_OBJ.tiff,grinnell:34416,,,,,Student Life | Campus | North Campus,,Two students posing in front of North Campus dormitories.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34423,"Student Life on Campus, 1988, Photograph 19",,,,,,image,991011589542504641,grinnell_34423_OBJ.tiff,grinnell:34423,,,,,Student Life | Campus | North Campus,,Two students walking in the North Campus loggia.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34425,"Student Life on Campus, 1988, Photograph 20",,,,,,image,991011589541704641,grinnell_34425_OBJ.tiff,grinnell:34425,,,,,Student Life | Campus,,Three students posing on campus.,Office of Communications,,,,1988,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:29488,"Commencement, 1989",,,,,,image,991011588501304641,grinnell_29488_OBJ.tiff,grinnell:29488,,,,,commencement,,A student with a flower necklace around their neck walks down the center aisle at the 1989 Commencement ceremony.,Office of Communications,,,,1989,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19981,"Student Group Photo, 1989",,,,,,image,991011588276204641,grinnell_19981_OBJ.jpg,grinnell:19981,,,,,Students | Group Photos,,"Eleven students pose for a group photo. Top Row: Unknown, Pleshette Hamm, Chris Planter, Blakely Clepp, Sylvain Boko. Middle Row: Unknown, Sylvia Bachman, Jeff Fields. Bottom Row: Kevin Sterk, Gwenda McLamb, Unknown, Unknown.",Office of Communications,,,,1989,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19989,"New Student Days, 1989, Photograph 1",,,,,,image,991011588274704641,grinnell_19989_OBJ.jpg,grinnell:19989,,,,,Students | New Student Days,,Students holding New Student Days water bottles.,Office of Communications,,,,1989,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19990,"New Student Days, 1989, Photograph 2",,,,,,image,991011588274504641,grinnell_19990_OBJ.jpg,grinnell:19990,,,,,Students | New Student Days,,Students sharing food during New Student Days.,Office of Communications,,,,1989,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:19992,"New Student Days, 1989, Photograph 4",,,,,,image,991011588274104641,grinnell_19992_OBJ.jpg,grinnell:19992,,,,,Students | New Student Days,,Students playing a teambuilding game during New Student Days.,Office of Communications,,,,1989,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:34064,"Student Life, 1980s, Photograph 1",,,,,,image,991011588253004641,grinnell_34064_OBJ.tiff,grinnell:34064,,,,,Students | Student Life | North Campus | Loggia,,"Students on the North Campus loggia, spring 1989. ",Office of Communications,,,,1989,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20130,"Writing Center, 1990",,,,,,image,991011588267904641,grinnell_20130_OBJ.tiff,grinnell:20130,,,,,Students | Writing Center | Academics,,"Student receives help with writing at the Writing Center, 1990.",Office of Communications,,,,1990,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20133,"Student Concert, 1990, Photograph 1",,,,,,image,991011588267104641,grinnell_20133_OBJ.jpg,grinnell:20133,,,,,Students | Concert ,,"Students dance at a student concert, 1990.",Office of Communications,,,,1990,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:29482,"Commencement, 1990, Photograph 1",,,,,,image,991011588501904641,grinnell_29482_OBJ.tiff,grinnell:29482,,Jack Robertson,,,Commencement,,"Two students shake hands at Commencement on May 21, 1990. Both students are wearing flower crowns and necklaces. Ken Ikeda (Left), Vincent Kiste (Right).",Office of Communications,,,,1990,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:29489,"Commencement, 1990, Photograph 2",,,,,,image,991011588501204641,grinnell_29489_OBJ.tiff,grinnell:29489,,Jack Robertson,,,Commencement,,student Eva Gakanyo stands surrounded by their family at the 1990 Commencement ceremony.,Office of Communications,,,,1990,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:29492,"Commencement, 1990, Photograph 3",,,,,,image,991011588500904641,grinnell_29492_OBJ.tiff,grinnell:29492,,Jack Robertson,,,Commencement,,"Sharon Hutchins, the winner of the Archibald Prize, poses for a photograph at the May 21, 1990 Commencement ceremony. ",Office of Communications,,,,1990,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
grinnell:20125,"Dance Performance, 1990",,,,,,image,991011588269104641,grinnell_20125_OBJ.tiff,grinnell:20125,,,,,Students | Dance | Performance,,"Two students face eac hother on a darkened stage during a dance performance, March 1990.",Office of Communications,,,,1990,,,,,photograph, 1 photograph,,,,,,,,,,,,,,,,,,,,,,,,,
